1CO01:2	It is sent to the church of God in Corinth, those who are being made right in Christ Jesus, called to live holy lives—and to everyone who worships the Lord Jesus Christ everywhere, the Lord both of them and of us. 	Jiosh at ab i em-gawulkai mamt d wo hemajkamgajk. Kumt heg hekaj ab i e hemakoj wehsijj t-wehm ahchim mach hab waꞌap ab ihm g t-kownalig Jesus Christ. 
1CO01:3	May you have grace and peace from God our Father and the Lord Jesus Christ.  	Ab o wa si s-em-hoꞌigeꞌid g t-ohg Jiosh g t-kownalig Jesus Christ wehm ch ab wo wa baꞌich i em-mahkad g i wehmtadag ch s-ap tahhadkam. 
1CO01:4	I'm always thanking God for you because of the grace of God given to you in Christ Jesus.  	Chum ani hekid ab si hoꞌigeꞌid g Jiosh em-hekaj. Ab amt i s-wohoch g Christ. T g Jiosh ab i em-mah g geꞌe i wehmtadag.  
1CO01:5	Through him you have been made rich in everything, in all that you say and every aspect of what you know.  	M heg hekaj s-mahch mo haschu s-apꞌe ch s-ap haꞌichu am hab junihim ch s-ap haꞌichu k amjed neneok.  
1CO01:6	In fact the testimony of Christ was proved valid in your experience,  	Am o e chehgidch mam s-wihnam an uꞌukch g haꞌichu t-ahga ab amjed g Christ.  
1CO01:7	so that you're not missing any spiritual gift as you wait for the coming of our Lord Jesus Christ.  	Kum wehs ab i neid g hoꞌigeꞌidadgaj ch ep nenida mat ep wo jiwia.  
1CO01:8-9	He will also keep you strong to the very end, so you will be kept right until the day of the Lord Jesus Christ.  God is trustworthy who called you to share together in fellowship with his son Jesus Christ our Lord. 	Jiosh at ab i em-waid k ab i em-gawulkai mat hab masma hab t-juh. Kum hab si s-ap s-mahch g alidaj Jesus Christ. T g Jiosh pi hekid am hu gawul wo juh g hab e-elida k an wo t-uꞌukchid matt pi ab hu wo t-chuꞌijigch heg eda tash mat wo ha lodai g pi ap chuꞌijkam. 
1CO01:10	Brothers and sisters, I plead with you in the name of our Lord Jesus Christ that you all agree and that you're not divided. Instead develop a united attitude and purpose.  	T-kownalig Jesus Christ o ab ni-mahkch g gewkdag mant wo haꞌichu em-cheha. Kunt hekaj wo em-ahgi mamt pi ab hu e wui wo gegokiwua k wabshaba ab wo i hemakoj g e-chegitoidag k wo s-ap e tahtkk ab aꞌai e wui. 
1CO01:11	For I have been told things about you, my brothers and sisters, by some of Chloe's people—that you are quarreling among yourselves.  	Ia at haꞌi dada g em-wehm kihkam mo d Cloe hajuni k hab kaij mamsh pi e wehm neneok.  
1CO01:12	Let me explain what I mean. You're all making different claims: “I follow Paul,” or “I follow Apollos,” or “I follow Peter,” or “I follow Christ.”  	Haꞌi amsh hab kaij mamsh ahni am ni-oid ch amsh haꞌi g Apollos am oid ch amsh haꞌi g Peter am oid. Kumsh haꞌi hab e elid mamsh ahpim d waꞌi wohokam oiddam g Christ. 
1CO01:13	Is Christ divided? Did Paul die on a cross for you? Was it in the name of Paul that you were baptized? 	Neh, am amtsh aꞌai i e gaꞌagwulkad k eda d chum hemako ab wecho g Christ. Pi att hema ahchim ab muh kots t ab em wehhejed. Heg at waꞌi Christ hab e juh. Kumt heg ab waꞌi s-wohochud k e pahl wapko. 
1CO01:14-17	I'm grateful to God that I didn't baptize any of you, except Crispus and Gaius,  so nobody can claim they were baptized in my name.  (Oh, and I also baptized the Stephanas family—I can't think of anyone else.)  For Christ didn't send me out to baptize, but to spread the good news, and not with eloquent human wisdom, otherwise the cross of Christ would be made powerless. 	Pi ant heg wehhejed am hu jiwia manis wehs wo em-pahl wapko. Shahag wepo mant hegam waꞌi Crispus ch Gaius ha wapko, pej hegam ehp Stephanus. Pi ant chegito manis haꞌi ep ha pahl wapko. Pi ani hab ni-ahg mams ahni wo i ni-oi. Pi at heg hekaj am i ni-kei g Christ manis wo ha pahl wapkonad k wabshaba am i ni-kei mant am wo ahgachugad ihda s-kehg haꞌichu ahga mo hab chuꞌig mat ab e muhkid kots t ab t-wehhejed. Neh, id ani waꞌi ahgachug ch pi hekaj g s-hasig neꞌoki mams ab wo si has ni-elid k p i am hu wo amichud k hab pi wo e doꞌibia. 
1CO01:18	For the message of the cross is nonsense to those who are lost, but it's the power of God to those of us who are saved.  	Hegam mo pi d e doꞌibiakam o hab elid mo d wabsh pi haꞌichu g haꞌichu t-ahga mat g Christ ab muh kots t ab t-wehhejed. Kuch wabshaba ahchim mach d t-doꞌibiakam s-mahch mo g Jiosh hab masma ab t-chehgidch g e-gewkdag.  
1CO01:19	As Scripture says, “I will destroy the wisdom of the wise, and I will wipe out the cleverness of the clever.” 	Neh, an o oꞌohanas mo hab kaij g Jiosh: 
1CO01:20	So how about the wise, the writers, and the philosophers of this age? Hasn't God turned the wisdom of this world into foolishness?  	Pegih, am o t‑chehgidch g Jiosh matt pi hedai wo shaꞌi t‑nako machs wo hejel t‑doꞌibia, chum achs hems haꞌichu wo s‑amichudad ch haꞌichu wo s‑mahchkad. Pi att hedai wo shaꞌi t‑nako machs wo ha neꞌowin k wo cheh g Jiosh wohokam.  
1CO01:21	Since God in his wisdom allowed the world in its wisdom not to know God, it was God's gracious plan that by the foolishness of the good news those who trusted in him would be saved.  	Jiosh at hab masma hab t‑juh matt pi hedai wo shaꞌi t‑nako machs hejel wo s‑mai g Jiosh k wo t‑doꞌibia. Haꞌi o pi haꞌichuchud g Jiosh haꞌichu ahga. K wabshaba hab d elidaj matt ab wo i s‑wohoch g haꞌichu ahgaj k hekaj wo t‑doꞌibia.  
1CO01:22	The Jews ask for miraculous signs, and Greeks look for wisdom,  	Ni‑wehm Tutuligo o s‑hohhoꞌid mat hoꞌip nei g s‑hasig haꞌichu k haha wo s‑wohoch hegai mo hab junihim. K g gawul mahs hemajkam s‑kaimk g hemajkam haꞌichu ha‑mahchig mat hab masma wo chum s‑mai g wohokam.  
1CO01:23	but our message is of Christ killed on a cross—offensive to the Jews, and foolishness to the foreigners.  	Ch wabshaba ahchim hi heg ahgachug mat g Christ ab muh kots t ab k hekaj t‑doꞌibia. Tutuligo o hab elid mo id wabsh chehgidch mo pi gewkdag. K g gawul mahs oꞌodham hab elid mo wabsh chehgidch mo pi haꞌichu amichud.  
1CO01:24-25	However for those who are called by God, both Jews and foreigners, Christ is the power of God and the wisdom of God.  For the foolishness of God is wiser than we are; and the weakness of God is stronger than we are. 	T wabshaba g Jiosh ab haꞌi i t‑gawulkai ahchim Tutuligo k hab waꞌap ab haꞌi i em‑gawulkai ahpim gawul mahs hemajkam matt ab wo i s‑wohoch g alidag k wo t‑doꞌibia. Hegam mo pi d e doꞌibiakam o pi ab hu haꞌichuchud ihda mat g Jiosh am hab t‑juni am gahi wuhshanim g e‑alidag. K wabshaba g Jiosh hab masma am t‑chehgidch g e‑amichudadag ch e‑gewkdag. 
1CO01:26	Brothers and sisters, remember your calling—and that this did not include many who are wise, humanly speaking; not many who are powerful; not many who are important.  	Am g wo s‑chegitok, ni‑wepnag, mam has i masma mat eda koi ab hu i em‑gawulkai g Jiosh mamt d wo hemajkamgajk, Muꞌijj am pi haꞌichu mahch ch pi ha gewkdag ch d wabsh pi haꞌichu am ha‑nena ed g hemajkam.  
1CO01:27	Instead God chose the things the world considers foolish to humiliate those who think they are wise. He chose the things the world considers weak to humiliate those who think they are strong.  	T g Jiosh ab i em‑gawulkai mat hekaj am wo ha chehgi hegam mo pi mahch mo d wabsh pi haꞌichu g haꞌichu ha‑amichudadag ch ha‑gewkdag.  
1CO01:28	He chose the things that are unimportant and despised by the world, even things that are not, to bring to nothing the things that are, 	Pi am ab hu em‑haꞌichuchud ch wabsh s‑em‑uhwaid. T wabshaba g Jiosh ab i em‑gawulkai mat hekaj am wo ha chehgi mo pi d shaꞌi haꞌichu hegam mo g hemajkam ab si has ha elid.  
1CO01:29	so that nobody should boast in God's presence. 	Heg o hekaj hab mahs mat pi hedai wo chum si e haschudad am tahgio g Jiosh.  
1CO01:30	It's because of him that you live in Christ Jesus, who God made to be wisdom for us. He sets us right, keeps us right, and frees us.  	Heg at ab i t‑wehnad g Christ matt ab i s‑wohoch g s‑kehg haꞌichu ahga ab amjed. T g Christ t‑doꞌibia ab amjed g pi apꞌekam k am i t‑apꞌech wehhejed g Jiosh matt d wo hekia s‑apꞌekam hemajkamgajk, Bo masma ab t‑chehgidch g Jiosh haꞌichu amichudadag.  
1CO01:31	So as Scripture says, “Whoever wants to boast, let them boast in the Lord.” 	Heg o hekaj an hab chuꞌig Jiosh oꞌohana ed: 
1CO02:1	Brothers and sisters, when I came to you I didn't try to impress you with wonderful words or great wisdom when I told you what God had to say to you.  	Kuni ahni hi pi shaꞌi hasigamkaj neok, ni‑wepnag, mant eda am wa jiwia em‑wui am ahgachugch  
1CO02:2	I decided that while I was with you I didn't want to concentrate on anything except Jesus Christ, and that he was crucified.  	mat g Jesus Christ ab muh kots t ab am t‑wehhejed. Kuni hab n‑ahg mant heg am wo waꞌi ahgachugad  
1CO02:3	I came to you in weakness, fearful and trembling.  	ch heg hekaj si s‑gihug ch gigiwuk.  
1CO02:4	I didn't speak to you with persuasive words of wisdom to convince you. I just explained it all to you through the evidence and power of the Spirit.  	K g haꞌichu ni‑ahga pi am hu hab shaꞌi kaidag matp hems g si s‑e mahchim oꞌodham haꞌichu ahga. K wabshaba g Hekia S‑apꞌekam Gewkdag am wohokamchud g haꞌichu ni‑ahga.  
